start_ip,end_ip,asn,name,domain
14.1.16.0,14.1.19.255,AS45437,Real World - The Core,rwts.com.au
14.1.20.0,14.1.23.255,AS46844,Sharktech,sharktech.net
14.1.28.0,14.1.31.255,AS63018,Dedicated.com,dedicated.com
14.1.32.0,14.1.63.255,AS45177,Devoli,devoli.com
14.1.64.0,14.1.71.255,AS14593,Space Exploration Technologies Corporation,spacex.com
14.1.76.0,14.1.95.255,AS14593,Space Exploration Technologies Corporation,spacex.com
14.1.96.0,14.1.99.255,AS55933,Cloudie Limited,worria.com
14.1.100.0,14.1.101.255,AS139009,Windstream Communication Limited,windstreamcommunication.net
14.1.103.0,14.1.103.255,AS139009,Windstream Communication Limited,windstreamcommunication.net
14.1.104.0,14.1.107.255,AS9541,Cyber Internet Services (Pvt) Ltd.,cyber.net.pk
14.1.112.0,14.1.115.255,AS134963,Alibaba Cloud (Singapore) Private Limited,alibaba-inc.com
14.1.116.0,14.1.119.255,AS134929,ORANGE CITY INTERNET SERVICES PVT. LTD.,orangecityinternet.co.in
14.1.120.0,14.1.121.255,AS134881,JLINK INDIA,jlinkindia.com
14.1.128.0,14.1.255.255,AS45960,YTL COMMUNICATIONS SDN BHD,ytlcomms.my
14.2.0.0,14.2.127.255,AS7545,TPG Telecom Limited,tpgtelecom.com.au
14.2.128.0,14.2.191.255,AS4739,Internode Pty Ltd,iinet.net.au
14.2.192.0,14.2.207.255,AS7545,TPG Telecom Limited,tpgtelecom.com.au
14.2.208.0,14.2.255.255,AS4739,Internode Pty Ltd,iinet.net.au
14.3.0.0,14.3.255.255,AS4685,Asahi Net,asahi-net.jp
